City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,9.8,86,100,1.86,CL,1706492162
1,longyearbyen,78.2186,15.6401,-11.09,79,0,5.14,SJ,1706492351
2,bredasdorp,-34.5322,20.0403,18.94,81,100,1.33,ZA,1706492351
3,adamstown,-25.066,-130.1015,24.51,77,62,4.5,PN,1706492351
4,grytviken,-54.2811,-36.5092,4.86,87,22,5.42,GS,1706492351
5,aioun,16.6614,-9.6149,17.73,18,5,4.98,MR,1706492351
6,avarua,-21.2078,-159.775,29.03,79,97,5.14,CK,1706492201
7,blackmans bay,-43.0167,147.3167,18.86,67,86,3.63,AU,1706492351
8,warrnambool,-38.3833,142.4833,20.53,71,0,5.48,AU,1706492154
9,ulanhot,46.0833,122.0833,-18.33,60,0,2.1,CN,1706492352
10,awash,8.9833,40.1667,22.64,70,97,1.43,ET,1706492352
11,invercargill,-46.4,168.35,18.9,75,7,3.13,NZ,1706492352
12,wau,7.7029,27.9953,22.31,22,100,2.29,SS,1706492352
13,alofi,-19.0595,-169.9187,28.94,70,55,4.12,NU,1706492352
14,bilibino,68.0546,166.4372,-29.64,97,99,1.77,RU,1706492352
15,vorgashor,67.5833,63.95,-12.99,95,100,5.04,RU,1706492353
16,ilebo,-4.3167,20.5833,22.79,91,100,0.74,CD,1706492353
17,coahuayana de hidalgo,18.7,-103.6583,23.37,85,100,1.03,MX,1706492353
18,levuka,50.1834,-105.4011,2.9,88,60,4.6,CA,1706492353
19,geraldton,-28.7667,114.6,24.23,57,0,3.09,AU,1706492353
20,darasun,51.6667,114.0,-25.89,89,100,0.5,RU,1706492353
21,constantia,44.1833,28.65,0.39,81,98,8.76,RO,1706492353
22,brookings,44.3114,-96.7984,1.32,93,0,3.09,US,1706492354
23,georgetown,5.4112,100.3354,27.96,70,20,3.6,MY,1706492354
24,fort bragg,35.139,-79.006,13.75,50,75,5.66,US,1706492354
25,west island,-12.1568,96.8225,27.99,65,10,4.12,CC,1706492349
26,la passe,45.5549,-0.8967,10.13,90,100,6.32,FR,1706492354
27,port-aux-francais,-49.35,70.2167,4.8,69,90,14.41,TF,1706492354
28,anloga,5.7947,0.8973,26.8,71,8,2.8,GH,1706492354
29,albany,42.6001,-73.9662,0.91,84,100,2.53,US,1706492355
30,wailua homesteads,22.0669,-159.378,27.64,70,20,9.77,US,1706492355
31,vila velha,-20.3297,-40.2925,25.97,95,100,1.54,BR,1706492350
32,gwio kura,12.6753,11.0682,15.77,25,1,4.12,NG,1706492355
33,papatowai,-46.5619,169.4708,18.35,65,25,2.73,NZ,1706492355
34,ilulissat,69.2167,-51.1,-21.99,49,100,4.63,GL,1706492355
35,yushu,44.8,126.5333,-16.29,90,35,1.6,CN,1706492355
36,waitangi,-43.9535,-176.5597,17.68,98,100,6.78,NZ,1706492356
37,margaret river,-33.95,115.0667,19.95,48,0,3.03,AU,1706492356
38,chilliwack,49.1747,-121.9443,11.29,96,100,1.34,CA,1706492092
39,taikang,46.8333,124.4167,-17.56,79,31,3.68,CN,1706492356
40,aasiaat,68.7098,-52.8699,-31.15,99,100,3.39,GL,1706492175
41,goya,-29.14,-59.2626,21.23,66,1,2.35,AR,1706492356
42,crane,31.3974,-102.3501,13.12,36,15,4.73,US,1706492356
43,bo rai,12.5728,102.5371,25.03,50,69,4.07,TH,1706492357
44,touros,-5.1989,-35.4608,27.27,76,55,5.04,BR,1706492357
45,gangarampur,25.4,88.5167,13.3,46,6,1.43,IN,1706492357
46,usogorsk,63.4106,48.6872,-6.85,94,95,2.91,RU,1706492357
47,isafjordur,66.0755,-23.124,-6.34,87,98,1.75,IS,1706492357
48,ushuaia,-54.8,-68.3,14.81,51,20,5.66,AR,1706492357
49,labuan,5.2767,115.2417,28.2,74,20,3.13,MY,1706492358
50,ribeira grande,38.5167,-28.7,15.43,73,100,8.05,PT,1706492358
51,tiksi,71.6872,128.8694,-23.76,96,100,4.49,RU,1706492358
52,liwonde,-15.0506,35.2035,19.31,88,5,0.53,MW,1706492358
53,aykhal,66.0,111.5,-25.1,57,96,3.07,RU,1706492358
54,ribeira brava,32.65,-17.0667,18.35,66,13,2.75,PT,1706492358
55,thompson,55.7435,-97.8558,-10.91,92,100,2.06,CA,1706492358
56,prado,-17.3411,-39.2208,23.88,91,99,3.61,BR,1706492359
57,punta arenas,-53.15,-70.9167,14.06,58,0,5.66,CL,1706492359
58,callao,-12.0667,-77.15,28.73,65,0,4.63,PE,1706492359
59,lompoc,34.6391,-120.4579,21.55,59,0,4.63,US,1706492359
60,candolim,15.5181,73.7626,23.0,83,93,2.57,IN,1706492359
61,bich'vinta,43.1592,40.3378,3.1,65,97,2.74,GE,1706492359
62,port saint john's,-31.6229,29.5448,23.46,85,12,3.87,ZA,1706492360
63,la cruz,23.9167,-106.9,21.05,64,0,3.45,MX,1706492360
64,badger,64.8,-147.5333,-26.27,67,100,0.0,US,1706492113
65,vadso,70.0744,29.7487,1.09,86,100,5.66,NO,1706492360
66,puerto san jose,13.9256,-90.8244,26.71,76,4,2.35,GT,1706492360
67,kailua-kona,19.6406,-155.9956,28.06,77,40,8.75,US,1706492316
68,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,82,0,4.0,RU,1706492360
69,yangambi,0.8102,24.4336,21.8,48,100,0.14,CD,1706492360
70,vilyuchinsk,52.9306,158.4028,-6.85,79,99,1.42,RU,1706492361
71,kalabo,-14.97,22.6814,18.4,72,5,2.45,ZM,1706492361
72,salekhard,66.53,66.6019,-23.09,100,99,1.35,RU,1706492361
73,kalmunai,7.4167,81.8167,25.95,84,91,6.2,LK,1706492361
74,whitehorse,60.7161,-135.0538,2.43,87,100,7.2,CA,1706492361
75,polyarnyy,69.1989,33.4478,0.53,90,100,11.52,RU,1706492361
76,afaahiti,-17.75,-149.2833,30.93,78,87,2.13,PF,1706492174
77,edinburgh of the seven seas,-37.0676,-12.3116,16.49,79,93,9.24,SH,1706492362
78,conduaga,8.862,117.4893,28.32,62,85,2.6,PH,1706492362
79,mhamid,29.82,-5.72,13.05,20,31,2.85,MA,1706492362
80,bengkulu,-3.8004,102.2655,27.41,77,100,0.98,ID,1706492139
81,pisco,-13.7,-76.2167,25.03,78,0,6.69,PE,1706492362
82,college,64.8569,-147.8028,-26.22,65,100,0.0,US,1706492362
83,mar del plata,-38.0023,-57.5575,23.38,83,40,9.83,AR,1706492310
84,yuzhno-kurilsk,44.0306,145.8556,0.21,93,89,5.98,RU,1706492363
85,gurun,5.8172,100.4738,26.88,71,53,2.57,MY,1706492363
86,yellowknife,62.456,-114.3525,-15.71,85,100,1.54,CA,1706492180
87,bethel,41.3712,-73.414,2.74,86,100,3.6,US,1706492363
88,fort saskatchewan,53.7168,-113.2187,4.55,80,10,3.58,CA,1706492363
89,sivas,39.7916,37.0019,-7.65,92,100,0.0,TR,1706492363
90,tolanaro,-25.0319,46.9987,23.04,88,75,3.6,MG,1706492363
91,semirara,12.0697,121.3986,25.47,80,100,14.39,PH,1706492364
92,kodiak,57.79,-152.4072,-8.27,62,20,7.2,US,1706492364
93,manokwari,-0.8667,134.0833,28.28,76,74,1.55,ID,1706492364
94,shaowu,27.3409,117.4831,8.66,92,100,0.91,CN,1706492364
95,pandan,14.0453,124.1694,25.1,73,97,9.4,PH,1706492364
96,kapuskasing,49.4169,-82.4331,-3.0,93,100,1.54,CA,1706492364
97,tura,25.5198,90.2201,15.26,55,1,0.81,IN,1706492364
98,howard springs,-12.497,131.047,28.23,92,100,2.44,AU,1706492365
99,porto velho,-8.7619,-63.9039,24.03,94,75,1.54,BR,1706492365
100,suihua,46.6406,126.9969,-18.67,95,88,2.18,CN,1706492365
101,kamina,-8.7386,24.9906,18.08,99,100,1.28,CD,1706492365
102,labrador city,52.9463,-66.9114,-26.05,76,0,0.0,CA,1706492365
103,ust-nera,64.5667,143.2,-38.12,100,84,2.84,RU,1706492365
104,arteche,12.2645,125.4048,26.21,73,100,8.04,PH,1706492366
105,sanghar,26.0466,68.9481,15.88,52,100,2.08,PK,1706492366
106,road town,18.4167,-64.6167,25.02,78,20,2.57,VG,1706492366
107,sisimiut,66.9395,-53.6735,-21.66,98,100,4.01,GL,1706492366
108,harper,4.375,-7.7169,26.3,84,4,2.58,LR,1706492366
109,acarau,-2.8856,-40.12,27.8,80,93,6.62,BR,1706492304
110,uxbridge,42.0773,-71.6295,2.48,95,100,2.24,US,1706492366
111,portland,45.5234,-122.6762,16.83,89,100,3.58,US,1706492265
112,enewetak,11.3474,162.3373,26.17,70,97,6.99,MH,1706492367
113,chonchi,-42.6128,-73.8092,13.56,89,0,1.32,CL,1706492367
114,utrik,11.2278,169.8474,25.74,69,100,6.11,MH,1706492367
115,puerto ayora,-0.7393,-90.3518,25.7,86,82,3.4,EC,1706492367
116,torghay,49.6339,63.4981,-15.92,96,92,4.64,KZ,1706492367
117,hasaki,35.7333,140.8333,10.16,45,2,6.63,JP,1706492367
118,rio grande,-32.035,-52.0986,21.36,85,7,4.05,BR,1706492367
119,melipilla,-33.7,-71.2167,25.36,92,0,1.34,CL,1706492368
120,stanley,54.868,-1.6985,8.73,85,75,4.12,GB,1706492368
121,porto novo,6.4965,2.6036,26.9,61,16,1.58,BJ,1706492368
122,nea alikarnassos,35.3333,25.1667,10.82,54,75,7.2,GR,1706492368
